Kuerzel,Indikator,n_non_missing,n_missing,coverage_pct,min_year,max_year,official_name,main_dimension,sub_dimension,broad_dimension,in_old51,in_thesis_candidate,in_student_sensitivity,in_curated,proposed_status,handling_note
a_bev65um,Einwohner 65 Jahre und älter,834,1,99.88,2023,2023,Anteil der Einwohner 65 Jahre und älter an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure,TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
a_hh_kind,Haushalte mit Kindern,834,1,99.88,2023,2023,Anteil der Haushalte mit Kindern an allen Haushalten in %,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,Demography and household structure,TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
q_HH1,Einpersonenhaushalte,834,1,99.88,2023,2023,Anteil der Einpersonenhaushalte an den Haushalten insgesamt in %,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,Demography and household structure,TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
a_bev_0006,Einwohner unter 6 Jahre,834,1,99.88,2023,2023,Anteil der Einwohner unter 6 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure,FALSE,TRUE,TRUE,FALSE,core_thesis_candidate,"Keep in the wider thesis-candidate PCA set; broad enough for a wide PCA, but cleaner than the original 51-variable block."
q_stud,Studierende,834,1,99.88,2023,2023,Studierende an wissenschaftlichen Hochschulen und Fachhochschulen je 1.000 Einwohner,Bildung,Bildung – Ausbildungsangebot,Education,TRUE,FALSE,TRUE,FALSE,student_sensitivity_only,Use only in a student-sensitivity PCA. These variables mainly capture university-town structure rather than core municipality-level social vulnerability.
q_stud_1825,Studierende je 100 Einwohner 18 bis 25 Jahre,834,1,99.88,2022,2023,Studierende je 100 Einwohner von 18 bis unter 25 Jahren in %,Bildung,Bildung – Ausbildungsangebot,Education,TRUE,FALSE,TRUE,FALSE,student_sensitivity_only,Use only in a student-sensitivity PCA. These variables mainly capture university-town structure rather than core municipality-level social vulnerability.
q_stud_fh,Studierende an FH,834,1,99.88,2023,2023,Studierende an Fachhochschulen je 1.000 Einwohner,Bildung,Bildung – Ausbildungsangebot,Education,TRUE,FALSE,TRUE,FALSE,student_sensitivity_only,Use only in a student-sensitivity PCA. These variables mainly capture university-town structure rather than core municipality-level social vulnerability.
m_G02_SUP_DIST,Entfernung zum Supermarkt/Discounter,834,1,99.88,2023,2023,Einwohnergewichtete Entfernung zum nächsten Supermarkt oder Discounter,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility",TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
m_OEV20_DIST,Entfernung zur ÖV Haltestelle,834,1,99.88,2022,2022,Einwohnergewichtete Entfernung zur nächsten Haltestelle des ÖV mit mind. 20 Abfahrten am Tag,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility",TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
m_Q01_APO_DIST,Entfernung zur Apotheke,834,1,99.88,2023,2023,Einwohnergewichtete Entfernung zur nächsten Apotheke,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility",TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
m_Q07_HA_DIST,Entfernung zum Hausarzt,834,1,99.88,2023,2023,Einwohnergewichtete Entfernung zur nächsten Hausarztpraxis,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility",TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
q_ärzte_bev,Ärzte,834,1,99.88,2022,2022,Ärzte je 10.000 Einwohner,Medizinische Versorgung,(no sub-dimension),"Health, services and accessibility",TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
a_bb_4G,4G-Mobilfunkverfügbarkeit,834,1,99.88,2023,2023,Anteil der Haushalte mit einer 4G-Mobilfunkversorgung in %,Erreichbarkeit,Digitale Erreichbarkeit,"Health, services and accessibility",TRUE,TRUE,TRUE,FALSE,core_thesis_candidate,"Keep in the wider thesis-candidate PCA set; broad enough for a wide PCA, but cleaner than the original 51-variable block."
a_bb_50Mbits,Bandbreitenverfügbarkeit mindestens 50 Mbit/s,834,1,99.88,2023,2023,Anteil der Haushalte mit einer Bandbreitenverfügbarkeit (leitungsgebunden) mit mindestens 50 Mbit/s in %,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility",TRUE,TRUE,TRUE,FALSE,core_thesis_candidate,"Keep in the wider thesis-candidate PCA set; broad enough for a wide PCA, but cleaner than the original 51-variable block."
m_P01_PRIM_DIST,Entfernung zur Grundschule,834,1,99.88,2023,2023,Einwohnergewichtete Entfernung zur nächsten Grundschule,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility",TRUE,TRUE,TRUE,FALSE,core_thesis_candidate,"Keep in the wider thesis-candidate PCA set; broad enough for a wide PCA, but cleaner than the original 51-variable block."
a_ALGII_SGBII,ALG II-Leistungen an SGBII,825,10,98.8,2021,2022,Anteil Arbeitslosengeld II an SGBII-Leistungen in %,Sozialleistungen,Sozialleistungen - Transferleistungen,"Income, deprivation and social transfers",TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
a_hheink_niedrig,Haushalte mit niedrigem Einkommen,834,1,99.88,2023,2023,Anteil der Haushalte mit einem Nettoeinkommen von unter 1.500€ pro Monat an den Haushalten insgesamt in %,Privateinkommen und private Schulden,(no sub-dimension),"Income, deprivation and social transfers",TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
q_einkst_bev,Einkommensteuer,834,1,99.88,2023,2023,Einkommensteuer in € je Einwohner,Öffentliche Finanzen,(no sub-dimension),"Income, deprivation and social transfers",TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
q_kaufkraft,Kaufkraft,834,1,99.88,2023,2023,Kaufkraft je Einwohner in Euro,Privateinkommen und private Schulden,(no sub-dimension),"Income, deprivation and social transfers",TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
a_ewfBG_allein,Alleinerziehende erwerbsfähige Leistungsberechtigte,823,12,98.56,2021,2022,Anteil der alleinerziehenden erwerbsfähigen SGBII-Leistungsberechtigten an den erwerbsfähigen  SGBII-Leistungsberechtigten in %,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften,"Income, deprivation and social transfers",FALSE,TRUE,TRUE,FALSE,core_thesis_candidate,"Keep in the wider thesis-candidate PCA set; broad enough for a wide PCA, but cleaner than the original 51-variable block."
q_newfBGu15_bev,Kinderarmut,834,1,99.88,2022,2022,Nicht erwerbsfähige SGBII-Leistungsberechtigte unter 15 Jahren je 100 Einwohner unter 15 Jahren,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften,"Income, deprivation and social transfers",FALSE,TRUE,TRUE,FALSE,core_thesis_candidate,"Keep in the wider thesis-candidate PCA set; broad enough for a wide PCA, but cleaner than the original 51-variable block."
a_aloLang,Langzeitarbeitslose,834,1,99.88,2021,2023,"Anteil der Arbeitslosen, 1 Jahr und länger arbeitslos, an den Arbeitslosen in %",Arbeitslosigkeit,Arbeitslosigkeit - Struktur,Labour market and employment,TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
q_alo_u25_einw,Jüngere Arbeitslose,834,1,99.88,2023,2023,Anteil der Arbeitslosen unter 25 Jahren an Einwohnern von 15 bis unter 25 Jahren in %,Arbeitslosigkeit,Arbeitslosigkeit - Altersgruppen,Labour market and employment,TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
a_Minijobs,Anteil Minijobs an den Beschäftigungsverhältnissen,834,1,99.88,2020,2023,Anteil der geringfügig entlohnten Beschäftigten am Arbeitsort an den privatrechtlichen Beschäftigungsverhältnissen in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit - Atypische Beschäftigung,Labour market and employment,FALSE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
q_alo_ü55_einw,Ältere Arbeitslose,834,1,99.88,2023,2023,Anteil der Arbeitslosen 55 Jahre und älter an Einwohnern von 55 bis unter 65 Jahren in %,Arbeitslosigkeit,Arbeitslosigkeit - Altersgruppen,Labour market and employment,TRUE,TRUE,TRUE,FALSE,core_thesis_candidate,"Keep in the wider thesis-candidate PCA set; broad enough for a wide PCA, but cleaner than the original 51-variable block."
q_svw,Beschäftigtenquote,834,1,99.88,2023,2023,SV Beschäftigte am Wohnort je 100 Einwohner im erwerbsfähigen Alter in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit – Struktur,Labour market and employment,FALSE,TRUE,TRUE,FALSE,core_thesis_candidate,"Keep in the wider thesis-candidate PCA set; broad enough for a wide PCA, but cleaner than the original 51-variable block."
