Kuerzel,states_with_data,all_states_present,full_coverage_all_states,min_state_coverage,mean_state_coverage,max_state_coverage,states_below_95,states_below_100,municipalities_with_value_total,municipalities_total,official_short,official_name,main_dimension,sub_dimension,period_gemeinden,period_kreise,broad_dimension
alo,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Arbeitslose,Zahl der Arbeitslosen insgesamt,Absolutzahlen,(no sub-dimension),1998-2023,1995-2023,Basic population and structural counts
bev_korr,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Bevölkerung (mit BBSR-Zensuskorrekturen),Zensuskorrigierte Zahl der Einwohner insgesamt,Absolutzahlen,(no sub-dimension),1995-2023,1995-2023,Basic population and structural counts
xbev,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Bevölkerung gesamt,Zahl der Einwohner insgesamt,Absolutzahlen,(no sub-dimension),1995-2023,1995-2023,Basic population and structural counts
xbevm,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Bevölkerung männlich,Zahl der männlichen Einwohner,Absolutzahlen,(no sub-dimension),1995-2023,1995-2023,Basic population and structural counts
xbevf,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Bevölkerung weiblich,Zahl der weiblichen Einwohner,Absolutzahlen,(no sub-dimension),1995-2023,1995-2023,Basic population and structural counts
TN23-kataster_qkm,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Bodenfläche gesamt qkm,Katasterfläche in km²,Absolutzahlen,(no sub-dimension),2016-2023,2016-2023,Basic population and structural counts
ewf_1565_ges,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Erwerbsfähige Bevölkerung (15 bis unter 65 Jahre),Zahl der Einwohner im Alter von 15 bis unter 65 Jahren,Absolutzahlen,(no sub-dimension),2001-2023,1995-2023,Basic population and structural counts
sva,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Sozialversicherungspflichtig Beschäftigte am Arbeitsort,Zahl der sozialversicherungspflichtig Beschäftigten am Arbeitsort insgesamt,Absolutzahlen,(no sub-dimension),1997-2023,1997-2023,Basic population and structural counts
svw,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Sozialversicherungspflichtig Beschäftigte am Wohnort,Zahl der sozialversicherungspflichtig Beschäftigten am Wohnort insgesamt,Absolutzahlen,(no sub-dimension),1997-2023,1997-2023,Basic population and structural counts
a_gb_Frauen,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Anteil Minijobs (Frauen),Anteil der geringfügig entlohnten weiblichen Beschäftigten an den geringfügig entlohnten Beschäftigten am Arbeitsort in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit - Atypische Beschäftigung,,2003-2023,Labour market and employment
